id,name,city,state,website
100016,Community College of the Air Force,Montgomery,AL,www.maxwell.af.mil/au/ccaf/
100025,Alabama A & M University,Normal,AL,www.aamu.edu/
100034,University of Alabama at Birmingham,Birmingham,AL,www.uab.edu
100043,Amridge University,Montgomery,AL,www.amridgeuniversity.edu
100052,University of Alabama in Huntsville,Huntsville,AL,www.uah.edu
100061,Alabama State University,Montgomery,AL,www.alasu.edu
100089,The University of Alabama,Tuscaloosa,AL,www.ua.edu/
100098,Central Alabama Community College,Alexander City,AL,www.cacc.edu
100104,Athens State University,Athens,AL,www.athens.edu
100113,Auburn University-Montgomery,Montgomery,AL,www.aum.edu
100122,Auburn University Main Campus,Auburn University,AL,www.auburn.edu
100140,Birmingham Southern College,Birmingham,AL,www.bsc.edu
100168,Chattahoochee Valley Community College,Phenix City,AL,www.cv.edu
100177,Concordia College,Selma,AL,www.concordiaselma.edu
100195,South University-Montgomery,Montgomery,AL,southuniversity.edu
100201,DCH Regional Medical Center,Tuscaloosa,AL,www.dchsystem.com
100210,Enterprise State Community College,Enterprise,AL,www.escc.edu
100229,James H Faulkner State Community College,Bay Minette,AL,www.faulknerstate.edu
100238,Faulkner University,Montgomery,AL,www.faulkner.edu
100247,Gadsden Business College,Rainbow City,AL,www.gadsdenbusinesscollege.com
100256,Gadsden State Community College,Gadsden,AL,www.gadsdenstate.edu
100274,George C Wallace Community College - Dothan,Dothan,AL,www.wallace.edu
100283,Wallace State Community College  - Hanceville,Hanceville,AL,www.wallacestate.edu
100292,George Corley Wallace State Community College - Selma,Selma,AL,www.wccs.edu
100326,Huntingdon College,Montgomery,AL,www.huntingdon.edu
100335,Huntsville Hospital,Huntsville,AL,
100344,Heritage Christian University,Florence,AL,www.hcu.edu
100353,J F Drake State Technical College,Huntsville,AL,www.drakestate.edu
100362,J F Ingram State Technical College,Deatsville,AL,www.ingram.cc.al.us
100371,Jacksonville State University,Jacksonville,AL,www.jsu.edu/
100380,Jefferson Davis Community College,Brewton,AL,www.jdcc.edu
100399,Jefferson State Community College,Birmingham,AL,www.jeffstateonline.com
100405,John C Calhoun State Community College,Tanner,AL,www.calhoun.edu
100423,Judson College,Marion,AL,www.judson.edu
100441,University of West Alabama,Livingston,AL,www.uwa.edu
100450,Lurleen B Wallace Community College,Andalusia,AL,lbwcc..edu
100469,Marion Military Institute,Marion,AL,www.marionmilitary.edu
100478,Pivot Point the Masters,Huntsville,AL,
100487,Miles College,Fairfield,AL,www.miles.edu
100496,University of Mobile,Mobile,AL,www.umobile.edu
100502,University of Montevallo,Montevallo,AL,www.montevallo.edu
100511,Northwest-Shoals Community College - Muscle Shoals,Muscle Shoals,AL,www.nwscc.edu
100520,University of North Alabama,Florence,AL,www.una.edu
100539,Northeast Alabama Community College,Rainsville,AL,www.nacc.edu
100548,Northwest-Shoals Community College - Phil Campbell,Phil Campbell,AL,
100557,Oakwood University,Huntsville,AL,www.oakwood.edu
100566,Alabama Southern Community College,Monroeville,AL,www.ascc.edu
100575,Prince Institute of Professional Studies Inc,Montgomery,AL,princeinstitute.com
100584,Reid State Technical College,Evergreen,AL,www.rstc.cc.al.us
100593,Bishop State Community College,Mobile,AL,www.bishop.edu
100609,Samford University,Birmingham,AL,www.samford.edu
